Kota Asal,Kota Tujuan,Jenis Kendaraan,Nama Kendaraan,Kelas,Jam Berangkat,Jam Tiba,Harga,Durasi Perjalanan
Bali,Makassar,Pesawat,Lion Air,Normal,07:00,17:45,1818622,645
Bali,Makassar,Pesawat,Lion Air,Normal,11:05,19:35,1788802,510
Bali,Makassar,Pesawat,Lion Air,Normal,11:05,17:45,1788802,400
Bali,Makassar,Pesawat,Lion Air,Normal,14:40,19:35,1758982,295
Bali,Makassar,Pesawat,Lion Air,Normal,07:00,08:30,1106867,90
Bali,Makassar,Pesawat,Lion Air,Normal,15:05,16:35,997305,90
Bali,Makassar,Pesawat,Batik Air Indonesia,Normal,21:30,23:00,904079,90
Bali,Makassar,Pesawat,Citilink,Normal,21:10,22:35,900557,85
Bali,Makassar,Pesawat,Lion Air,Normal,19:30,21:00,887744,90
Bali,Medan,Pesawat,Garuda Indonesia,Normal,15:55,21:25,4482300,390
Bali,Medan,Pesawat,TransNusa + Citilink,Normal,13:50,20:55,3001039,485
Bali,Medan,Pesawat,Lion Air,Normal,07:00,15:00,2959336,540
Bali,Medan,Pesawat,Citilink,Normal,12:15,17:55,2789555,400
Bali,Medan,Pesawat,Citilink,Normal,12:15,22:10,2705195,655
Bali,Medan,Pesawat,Citilink,Normal,12:15,20:50,2705195,575
Bali,Medan,Pesawat,Citilink,Normal,13:50,22:10,2705195,560
Bali,Medan,Pesawat,Citilink,Normal,13:50,20:50,2705195,480
Bali,Medan,Pesawat,Citilink,Normal,14:50,22:10,2616395,500
Bali,Medan,Pesawat,Citilink,Normal,14:50,20:50,2616395,420
Bali,Medan,Pesawat,Citilink,Normal,20:00,10:30,2611955,930
Bali,Medan,Pesawat,Citilink,Normal,19:00,08:10,2527595,850
Bali,Surabaya,Pesawat,Lion Air,Normal,14:40,14:55,717381,75
Bali,Surabaya,Pesawat,Lion Air,Normal,17:05,17:20,628646,75
Bali,Surabaya,Pesawat,Super Air Jet,Normal,17:20,17:35,623451,75
Bali,Surabaya,Pesawat,Super Air Jet,Normal,20:55,21:10,621462,75
Bali,Jakarta,Pesawat,TransNusa,Normal,09:10,10:00,1471400,110
Bali,Jakarta,Pesawat,AirAsia Indonesia,Normal,22:50,23:40,1467990,110
Bali,Jakarta,Pesawat,Pelita Air,Normal,12:55,13:45,1467400,110
Bali,Jakarta,Pesawat,Batik Air Indonesia,Normal,20:00,21:00,1464114,120
Bali,Jakarta,Pesawat,Citilink,Normal,14:50,15:45,1432136,115
Bali,Jakarta,Pesawat,Citilink,Normal,13:50,14:45,1432136,115
Bali,Jakarta,Pesawat,Citilink,Normal,12:15,13:10,1432136,115
Bali,Jakarta,Pesawat,BBN Airlines Indonesia,Normal,12:50,14:10,1431876,140
Bali,Jakarta,Pesawat,Batik Air Indonesia,Normal,19:25,20:15,1414144,110
Bali,Jakarta,Pesawat,TransNusa,Normal,10:30,11:15,1393700,105
Bali,Jakarta,Pesawat,Pelita Air,Normal,18:10,19:00,1376330,110
Bali,Jakarta,Pesawat,Pelita Air,Normal,16:00,16:50,1376330,110
Bali,Jakarta,Pesawat,Lion Air,Normal,10:30,11:30,1319733,120
Bali,Jakarta,Pesawat,TransNusa,Normal,13:50,14:35,1304900,105
Bali,Jakarta,Pesawat,TransNusa,Normal,18:30,19:30,1288400,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,21:30,22:30,1258875,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,20:25,21:25,1258875,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,19:25,20:25,1258875,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,18:30,19:30,1258875,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,17:15,18:15,1258875,120
Bali,Jakarta,Pesawat,Citilink,Normal,20:00,20:55,1254536,115
Bali,Jakarta,Pesawat,Citilink,Normal,19:00,19:55,1254536,115
Bali,Jakarta,Pesawat,Lion Air,Normal,15:45,16:45,1252439,120
Bali,Jakarta,Pesawat,AirAsia Indonesia,Normal,13:05,14:00,1530838,115
Bali,Makassar,Pesawat,Lion Air,Normal,07:00,15:05,1879256,485
Bali,Jakarta,Pesawat,AirAsia Indonesia,Normal,18:55,19:45,1560298,110
Bali,Jakarta,Pesawat,Citilink,Normal,16:10,17:00,1591421,110
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,07:00,17:00,1877268,660
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,11:05,20:00,1847547,595
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,11:05,17:00,1847547,415
Bali,Jakarta,Pesawat,Citilink,Normal,07:05,15:25,1838179,560
Bali,Jakarta,Pesawat,Garuda Indonesia,Normal,18:40,19:40,1825392,120
Bali,Jakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:40,13:40,1818045,360
Bali,Jakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:40,11:35,1818045,235
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,14:40,17:00,1817727,200
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,07:00,13:40,1817131,460
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,07:00,11:35,1817131,335
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,07:00,09:55,1817131,235
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,11:05,13:40,1787410,215
Bali,Jakarta,Pesawat,Batik Air Indonesia,Normal,13:40,14:30,1767182,110
Bali,Jakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:40,14:50,1754099,430
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,07:00,14:50,1753217,530
Bali,Jakarta,Pesawat,Lion Air + Batik Air Indonesia,Normal,11:05,14:50,1723397,285
Bali,Jakarta,Pesawat,Lion Air,Normal,07:00,12:55,1662067,415
Bali,Jakarta,Pesawat,Lion Air,Normal,11:05,17:20,1632247,435
Bali,Jakarta,Pesawat,Super Air Jet,Normal,16:15,17:15,1593885,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,14:00,15:00,1593885,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,12:00,13:00,1593885,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,11:00,12:00,1593885,120
Bali,Jakarta,Pesawat,Super Air Jet,Normal,08:00,09:00,1593885,120
Bali,Jakarta,Pesawat,AirAsia Indonesia,Normal,16:15,17:15,1581066,120
Bali,Makassar,Pesawat,Lion Air,Normal,07:00,16:30,1879256,570
Bali,Makassar,Pesawat,Lion Air,Normal,11:05,22:20,1911263,675
Bali,Pontianak,Pesawat,Garuda Indonesia,Normal,18:40,16:25,3420152,1365
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,12:15,2589180,315
Bali,Yogyakarta,Pesawat,Batik Air Indonesia,Normal,13:40,17:35,2638560,295
Bali,Yogyakarta,Pesawat,Garuda Indonesia,Normal,13:45,18:15,2883473,330
Bali,Yogyakarta,Pesawat,Garuda Indonesia,Normal,13:45,20:15,2883473,450
Bali,Padang,Pesawat,Citilink,Normal,20:00,08:45,2229560,825
Bali,Padang,Pesawat,Citilink,Normal,19:00,08:45,2229560,885
Bali,Padang,Pesawat,Pelita Air,Normal,18:10,08:00,2266180,890
Bali,Padang,Pesawat,Lion Air + Super Air Jet,Normal,15:45,19:45,2295046,300
Bali,Padang,Pesawat,Super Air Jet,Normal,21:30,06:45,2308333,615
Bali,Padang,Pesawat,Super Air Jet,Normal,20:25,06:45,2308333,680
Bali,Padang,Pesawat,Super Air Jet,Normal,19:25,06:45,2308333,740
Bali,Padang,Pesawat,TransNusa + Citilink,Normal,09:10,17:10,2346694,540
Bali,Padang,Pesawat,Lion Air + Super Air Jet,Normal,10:30,19:45,2362340,615
Bali,Padang,Pesawat,Lion Air + Super Air Jet,Normal,10:30,16:25,2431820,415
Bali,Padang,Pesawat,Lion Air + Super Air Jet,Normal,10:30,18:45,2431820,555
Bali,Padang,Pesawat,Lion Air + Super Air Jet,Normal,10:30,14:20,2501301,290
Bali,Padang,Pesawat,Pelita Air,Normal,12:55,17:55,2506180,360
Bali,Padang,Pesawat,Super Air Jet,Normal,14:00,19:45,2643878,405
Bali,Padang,Pesawat,Super Air Jet,Normal,12:00,19:45,2643878,525
Bali,Padang,Pesawat,Super Air Jet,Normal,11:00,19:45,2643878,585
Bali,Padang,Pesawat,Super Air Jet,Normal,08:00,19:45,2643878,765
Bali,Padang,Pesawat,Super Air Jet,Normal,12:00,16:25,2713493,325
Bali,Padang,Pesawat,Super Air Jet,Normal,14:00,18:45,2713493,345
Bali,Yogyakarta,Pesawat,Lion Air,Normal,07:00,17:55,2544555,715
Bali,Makassar,Pesawat,Lion Air,Normal,07:00,11:55,1941083,295
Bali,Yogyakarta,Pesawat,TransNusa + Garuda Indonesia,Normal,13:50,20:15,2423820,445
Bali,Yogyakarta,Pesawat,Lion Air,Normal,07:00,10:35,2413063,275
Bali,Makassar,Pesawat,NAM Air + Sriwijaya Air,Normal,18:30,01:40,2642280,430
Bali,Makassar,Pesawat,NAM Air + Sriwijaya Air,Normal,18:30,14:25,2919780,1195
Bali,Makassar,Pesawat,Garuda Indonesia,Normal,13:45,20:05,4076100,380
Bali,Yogyakarta,Pesawat,Lion Air,Normal,07:00,07:50,1048868,110
Bali,Yogyakarta,Pesawat,Lion Air,Normal,16:50,17:40,1127792,110
Bali,Yogyakarta,Pesawat,Lion Air,Normal,11:55,12:45,1167552,110
Bali,Yogyakarta,Pesawat,Garuda Indonesia,Normal,12:05,12:45,1402400,100
Bali,Yogyakarta,Pesawat,Citilink,Normal,14:50,18:50,2072606,300
Bali,Yogyakarta,Pesawat,Citilink,Normal,13:50,18:50,2072606,360
Bali,Yogyakarta,Pesawat,Citilink,Normal,12:15,18:50,2072606,455
Bali,Yogyakarta,Pesawat,Citilink,Normal,20:00,08:15,2094806,795
Bali,Yogyakarta,Pesawat,Citilink,Normal,19:00,08:15,2094806,855
Bali,Yogyakarta,Pesawat,TransNusa,Normal,10:30,15:15,2143100,345
Bali,Yogyakarta,Pesawat,TransNusa,Normal,09:10,15:15,2216749,425
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,12:00,18:15,2308731,435
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,18:15,2308731,675
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,14:00,17:15,2355174,255
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,11:00,14:25,2355174,265
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,12:00,17:15,2355174,375
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,11:00,17:15,2355174,435
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,14:25,2355174,445
Bali,Yogyakarta,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,17:15,2355174,615
Bali,Yogyakarta,Pesawat,Lion Air + Super Air Jet,Normal,13:25,18:00,2380361,335
Bali,Yogyakarta,Pesawat,Lion Air,Normal,07:00,14:15,2413063,495
Bali,Jakarta,Pesawat,NAM Air,Normal,18:30,19:10,1220960,100
Bali,Padang,Pesawat,Super Air Jet,Normal,12:00,18:45,2713493,465
Bali,Padang,Pesawat,Super Air Jet,Normal,08:00,16:25,2713493,565
Bali,Banjarmasin,Pesawat,Citilink,Normal,14:50,19:10,1568111,260
Bali,Banjarmasin,Pesawat,Citilink,Normal,07:00,11:35,1568111,275
Bali,Banjarmasin,Pesawat,Citilink,Normal,07:00,19:10,1568111,730
Bali,Banjarmasin,Pesawat,Citilink,Normal,14:20,21:15,1790671,415
Bali,Banjarmasin,Pesawat,Citilink,Normal,19:00,10:05,2360762,905
Bali,Banjarmasin,Pesawat,Citilink,Normal,20:00,10:05,2449562,845
Bali,Banjarmasin,Pesawat,Citilink,Normal,10:45,18:40,2633156,475
Bali,Banjarmasin,Pesawat,Citilink,Normal,07:45,12:30,2923532,285
Bali,Banjarmasin,Pesawat,Garuda Indonesia,Normal,13:45,21:10,3742700,445
Bali,Pontianak,Pesawat,Lion Air,Normal,14:40,19:25,1845758,345
Bali,Pontianak,Pesawat,Citilink,Normal,14:50,18:25,1849718,275
Bali,Pontianak,Pesawat,Citilink,Normal,07:00,18:25,1849718,745
Bali,Pontianak,Pesawat,Lion Air,Normal,11:05,19:25,1875578,560
Bali,Pontianak,Pesawat,Lion Air,Normal,11:05,16:00,1937305,355
Bali,Pontianak,Pesawat,Lion Air,Normal,07:00,16:00,1967125,600
Bali,Pontianak,Pesawat,Citilink,Normal,20:00,06:35,2107904,695
Bali,Pontianak,Pesawat,Citilink,Normal,19:00,06:35,2107904,755
Bali,Pontianak,Pesawat,Citilink,Normal,20:00,08:50,2230004,830
Bali,Pontianak,Pesawat,Citilink,Normal,19:00,08:50,2230004,890
Bali,Pontianak,Pesawat,TransNusa + Citilink,Normal,09:10,18:20,2330488,610
Bali,Pontianak,Pesawat,Citilink,Normal,12:15,16:00,2468654,285
Bali,Pontianak,Pesawat,Garuda Indonesia,Normal,18:40,07:55,3420152,855
Bali,Pontianak,Pesawat,Garuda Indonesia,Normal,18:40,13:10,3420152,1170
Bali,Banjarmasin,Pesawat,Super Air Jet,Normal,08:40,12:30,1563353,230
Bali,Padang,Pesawat,Super Air Jet,Normal,11:00,18:45,2713493,525
Bali,Banjarmasin,Pesawat,Lion Air,Normal,07:00,11:10,1562567,250
Bali,Banjarmasin,Pesawat,Citilink,Normal,16:10,21:25,1519271,315
Bali,Padang,Pesawat,Super Air Jet,Normal,08:00,18:45,2713493,705
Bali,Padang,Pesawat,Super Air Jet,Normal,08:00,14:20,2783008,440
Bali,Padang,Pesawat,Garuda Indonesia,Normal,20:15,11:15,3865900,960
Bali,Palembang,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,20:55,08:20,2032459,745
Bali,Palembang,Pesawat,TransNusa + Citilink,Normal,13:50,20:45,2065087,475
Bali,Palembang,Pesawat,Pelita Air,Normal,18:10,08:00,2066180,890
Bali,Palembang,Pesawat,Citilink,Normal,14:50,20:40,2068943,410
Bali,Palembang,Pesawat,Citilink,Normal,13:50,20:40,2068943,470
Bali,Palembang,Pesawat,Citilink,Normal,12:15,20:40,2068943,565
Bali,Palembang,Pesawat,Citilink,Normal,13:50,17:10,2108903,260
Bali,Palembang,Pesawat,Citilink,Normal,12:15,17:10,2108903,355
Bali,Palembang,Pesawat,Batik Air Indonesia,Normal,19:50,08:20,2163290,810
Bali,Palembang,Pesawat,Pelita Air,Normal,12:55,18:35,2236180,400
Bali,Palembang,Pesawat,Citilink,Normal,07:45,20:40,2246543,835
Bali,Palembang,Pesawat,Citilink,Normal,07:45,13:20,2286503,395
Bali,Palembang,Pesawat,Citilink,Normal,07:45,17:10,2286503,625
Bali,Palembang,Pesawat,Garuda Indonesia,Normal,13:45,17:30,3098402,285
Bali,Banjarmasin,Pesawat,Lion Air,Normal,14:35,16:10,1261982,95
Bali,Banjarmasin,Pesawat,Lion Air,Normal,14:40,19:15,1454420,275
Bali,Banjarmasin,Pesawat,Lion Air,Normal,14:40,19:25,1454420,285
Bali,Banjarmasin,Pesawat,Lion Air,Normal,11:05,19:15,1484141,490
Bali,Banjarmasin,Pesawat,Lion Air,Normal,11:05,19:25,1484141,500
Bali,Banjarmasin,Pesawat,Super Air Jet,Normal,08:40,14:40,1514722,360
Bali,Banjarmasin,Pesawat,Citilink,Normal,14:50,21:25,1519271,395
Bali,Makassar,Pesawat,Citilink,Normal,16:10,22:50,2021662,400
Bali,Makassar,Pesawat,Lion Air,Normal,07:00,13:10,1941083,370
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,06:30,07:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,19:30,20:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,20:00,20:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,20:30,21:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,21:00,21:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,21:30,22:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,22:00,22:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,22:30,23:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,23:00,23:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,23:30,00:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,19:00,19:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,00:00,00:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,01:00,01:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,01:30,02:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,02:00,02:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,02:30,03:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,03:00,03:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,03:30,04:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,04:00,04:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,04:30,05:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,05:00,05:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,00:30,01:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,05:30,06:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,18:30,19:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,17:30,18:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,07:30,08:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,08:00,08:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,08:30,09:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,09:00,09:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,09:30,10:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,10:00,10:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,10:30,11:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,11:00,11:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,11:30,12:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,18:00,18:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,12:00,12:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,13:00,13:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,13:30,14:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,14:00,14:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,14:30,15:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,15:00,15:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,15:30,16:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,16:00,16:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,16:30,17:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,17:00,17:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,12:30,13:15,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,06:00,06:45,10600,45
Bali,Banyuwangi,Ferry,KMP Cakalang,Reguler,07:00,07:45,10600,45
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,02:58,300000,94
Bandung,Bandung,Kereta,Kutojaya Selatan 260,Ekonomi,20:50,22:28,58000,98
Bandung,Garut,Kereta,Cikuray 268A,Ekonomi,20:43,22:19,45000,96
Bandung,Garut,Kereta,Cikuray 268A,Ekonomi,20:43,22:02,45000,79
Bandung,Garut,Kereta,Cikuray 268A,Ekonomi,20:43,22:50,45000,127
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:11,21:46,310000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:11,21:46,390000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:11,21:46,380000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:11,21:46,350000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:11,21:46,230000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:11,21:46,250000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:11,21:46,255000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:11,21:46,260000,95
Bandung,Garut,Kereta,Cikuray 268A,Ekonomi,20:58,22:50,45000,112
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:11,21:46,240000,95
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:00,21:46,255000,106
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:00,21:46,380000,106
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:00,21:46,240000,106
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:00,21:46,350000,106
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:00,21:46,250000,106
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:00,21:46,310000,106
Bandung,Bandung,Kereta,Mutiara Selatan 86,Eksekutif,20:00,21:46,390000,106
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:00,21:46,260000,106
Bandung,Bandung,Kereta,Lodaya 94,Eksekutif,19:11,20:50,380000,99
Bandung,Bandung,Kereta,Lodaya 94,Eksekutif,19:11,20:50,430000,99
Bandung,Bandung,Kereta,Lodaya 94,Ekonomi,19:11,20:50,250000,99
Bandung,Bandung,Kereta,Lodaya 94,Ekonomi,19:11,20:50,270000,99
Bandung,Bandung,Kereta,Mutiara Selatan 86,Ekonomi,20:00,21:46,230000,106
Bandung,Garut,Kereta,Cikuray 268A,Ekonomi,20:58,22:19,45000,81
Bandung,Garut,Kereta,Cikuray 268A,Ekonomi,20:58,22:02,45000,64
Bandung,Garut,Kereta,Cikuray 268A,Ekonomi,21:09,22:50,45000,101
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,02:58,490000,94
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,03:10,300000,106
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,03:10,290000,106
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,03:10,310000,106
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,02:58,350000,94
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,03:10,430000,106
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,03:10,490000,106
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,03:10,270000,106
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,03:10,470000,106
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,03:10,350000,106
Bandung,Bandung,Kereta,Mutiara Selatan 85,Ekonomi,03:35,05:10,255000,95
Bandung,Bandung,Kereta,Mutiara Selatan 85,Eksekutif,03:35,05:10,350000,95
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,02:58,430000,94
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,02:58,270000,94
Bandung,Bandung,Kereta,Lodaya 93,Eksekutif,01:24,02:58,410000,94
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,02:58,290000,94
Bandung,Bandung,Kereta,Lodaya 93,Ekonomi,01:24,02:58,310000,94
Bandung,Bandung,Kereta,Serayu 256A,Ekonomi,23:53,01:49,63000,116
Bandung,Garut,Kereta,Serayu 256A,Ekonomi,23:53,01:02,63000,69
Bandung,Garut,Kereta,Serayu 256A,Ekonomi,23:53,00:45,63000,52
Bandung,Garut,Kereta,Serayu 256A,Ekonomi,23:24,01:02,63000,98
Bandung,Garut,Kereta,Serayu 256A,Ekonomi,23:24,00:45,63000,81
Bandung,Bandung,Kereta,Serayu 256A,Ekonomi,23:24,01:49,63000,145
Bandung,Bandung,Kereta,Kahuripan 238,Ekonomi,22:15,23:56,80000,101
Bandung,Garut,Kereta,Kahuripan 238,Ekonomi,22:15,23:08,80000,53
